№,Секунда,Микросекунда
1,32,513931
2,32,524468
3,32,535491
4,32,546481
5,32,557479
6,32,568488
7,32,579496
8,32,590035
9,32,600373
10,32,610584
11,32,621637
12,32,632126
13,32,643043
14,32,653936
15,32,664192
16,32,674739
17,32,685764
18,32,696771
19,32,707743
20,32,717919
21,32,728902
22,32,739541
23,32,750153
24,32,760774
25,32,771091
26,32,782113
27,32,793120
28,32,804201
29,32,815199
30,32,826178
31,32,837212
32,32,848154
33,32,858356
34,32,869337
35,32,879583
36,32,890281
37,32,900889
38,32,911902
39,32,922902
40,32,932948
41,32,943983
42,32,954978
43,32,966000
44,32,977004
45,32,987108
46,32,998114
47,33,9116
48,33,19874
49,33,30475
50,33,41476
51,33,52507
52,33,63473
53,33,74501
54,33,85047
55,33,96040
56,33,107023
57,33,118014
58,33,129010
59,33,139423
60,33,150416
61,33,161019
62,33,171420
63,33,182418
64,33,193422
65,33,204420
66,33,215413
67,33,226490
68,33,237470
69,33,248396
70,33,259394
71,33,269955
72,33,280294
73,33,290717
74,33,301736
75,33,312425
76,33,323533
77,33,334465
78,33,345595
79,33,356583
80,33,367526
81,33,378095
82,33,389163
83,33,399302
84,33,409942
85,33,420685
86,33,430986
87,33,442007
88,33,453013
89,33,464021
90,33,475005
91,33,486027
92,33,496083
93,33,506165
94,33,517215
95,33,528077
96,33,539105
97,33,549683
98,33,560032
99,33,570581
100,33,580872
101,33,591866
102,33,602531
103,33,613553
104,33,624604
105,33,635253
106,33,645792
107,33,656465
108,33,667057
109,33,677962
110,33,688584
111,33,699576
112,33,709679
113,33,720231
114,33,730891
115,33,741030
116,33,751103
117,33,761219
118,33,771942
119,33,782046
120,33,792990
121,33,803450
122,33,813508
123,33,824409
124,33,835468
125,33,846106
126,33,856237
127,33,866358
128,33,877423
129,33,888500
130,33,899438
131,33,910100
132,33,920538
133,33,930615
134,33,941622
135,33,952735
136,33,963717
137,33,974714
138,33,984972
139,33,996020
140,34,7065
141,34,18074
142,34,29049
143,34,39664
144,34,50488
145,34,61686
146,34,72600
147,34,83566
148,34,94565
149,34,105494
150,34,116505
151,34,127504
152,34,137674
153,34,148792
154,34,159486
155,34,170547
156,34,181610
157,34,192598
158,34,203339
159,34,214347
160,34,225421
161,34,236358
162,34,247350
163,34,258426
164,34,268587
165,34,279561
166,34,290540
167,34,301052
168,34,311511
169,34,322502
170,34,333507
171,34,344483
172,34,355495
173,34,366479
174,34,377415
175,34,388452
176,34,398544
177,34,409556
178,34,421081
179,34,431220
180,34,442264
181,34,453331
182,34,463861
183,34,474676
184,34,485614
185,34,496539
186,34,506723
187,34,517768
188,34,528764
189,34,538933
190,34,549102
191,34,559960
192,34,571058
193,34,581937
194,34,592052
195,34,603287
196,34,614074
197,34,625137
198,34,636237
199,34,646576
200,34,657525
201,34,668531
202,34,679529
203,34,690371
204,34,700542
205,34,711643
206,34,722030
207,34,733038
208,34,744019
209,34,754167
210,34,765187
211,34,775861
212,34,786789
213,34,797788
214,34,808875
215,34,819877
216,34,830608
217,34,841069
218,34,852111
219,34,862512
220,34,873255
221,34,884357
222,34,894526
223,34,905610
224,34,916577
225,34,927604
226,34,938568
227,34,949579
228,34,960272
229,34,970942
230,34,981227
231,34,992328
232,35,3243
233,35,14313
234,35,25395
235,35,36345
236,35,47441
237,35,58400
238,35,69518
239,35,80264
240,35,90845
241,35,101435
242,35,111908
243,35,122864
244,35,133928
245,35,144335
246,35,154990
247,35,165479
248,35,176514
249,35,187485
250,35,198477
251,35,209560
252,35,220417
253,35,231461
254,35,242546
255,35,253516
256,35,264530
257,35,275519
258,35,285693
259,35,295869
260,35,306881
261,35,317880
262,35,328886
263,35,339919
264,35,350668
265,35,361604
266,35,372590
267,35,383715
268,35,394685
269,35,405690
270,35,416456
271,35,427299
272,35,438204
273,35,449215
274,35,460203
275,35,471248
276,35,482002
277,35,492761
278,35,502848
279,35,513649
280,35,524687
281,35,534855
282,35,545788
283,35,556440
284,35,567395
285,35,578398
286,35,589399
287,35,599808
288,35,610372
289,35,621152
290,35,632178
291,35,643007
292,35,654019
293,35,664985
294,35,675552
295,35,686543
296,35,697636
297,35,707968
298,35,718905
299,35,729190
300,35,739809
